accuracy,iou_score,loss,val_accuracy,val_iou_score,val_loss
0.8845347762107849,0.21203377842903137,0.9504494667053223,0.7320165038108826,0.17657816410064697,0.957095742225647
0.9425870776176453,0.2785302996635437,0.9171826839447021,0.8739925026893616,0.29481589794158936,0.9256228804588318
0.9544318914413452,0.3783702850341797,0.8980764150619507,0.9321994185447693,0.3709913194179535,0.8999971747398376
0.9584627747535706,0.4181934893131256,0.8868504166603088,0.9469544887542725,0.4066622853279114,0.8886244297027588
0.9633782505989075,0.4514414966106415,0.8755751252174377,0.9513375759124756,0.4269840717315674,0.8826088309288025
0.9649626016616821,0.4672314524650574,0.8696321845054626,0.9586435556411743,0.4470099210739136,0.876255989074707
0.9670619368553162,0.48551473021507263,0.8644898533821106,0.9618528485298157,0.46811985969543457,0.869415283203125
0.9695252180099487,0.5013700127601624,0.8589029908180237,0.956121027469635,0.4533260762691498,0.8738510608673096
0.9702571630477905,0.5178359746932983,0.8540998101234436,0.9600669741630554,0.4629243016242981,0.8707393407821655
0.9729272127151489,0.5438244938850403,0.8464096784591675,0.9637018442153931,0.4918767809867859,0.8622565269470215
0.9747453331947327,0.5653005838394165,0.840455949306488,0.9604344964027405,0.48439377546310425,0.8650012612342834
0.9731504321098328,0.557411789894104,0.8430249094963074,0.9663398861885071,0.5096595287322998,0.8572705388069153
0.9753199219703674,0.5804329514503479,0.8361537456512451,0.9684662818908691,0.5341178774833679,0.8505396246910095
0.9747178554534912,0.5812581181526184,0.8361548781394958,0.9691177010536194,0.5369342565536499,0.8495553731918335
0.9769187569618225,0.5980043411254883,0.8314689993858337,0.9705482125282288,0.547928512096405,0.8468254208564758
0.9776627421379089,0.6123062372207642,0.827731728553772,0.9704713821411133,0.562933087348938,0.8430135250091553
0.9779278039932251,0.6186203360557556,0.8259754776954651,0.9721531271934509,0.5767710208892822,0.8402363061904907
0.9788215160369873,0.6284856200218201,0.8236324787139893,0.9711456894874573,0.5830913782119751,0.8386871218681335
0.9791073799133301,0.6302424073219299,0.8230027556419373,0.9727003574371338,0.5744518041610718,0.8414933681488037
0.9795545935630798,0.6366793513298035,0.8212164044380188,0.9727483987808228,0.5979767441749573,0.8342753648757935
0.9789642095565796,0.6364005208015442,0.8213096261024475,0.9696083068847656,0.5774040818214417,0.8398842215538025
0.9799987077713013,0.6493300199508667,0.8178834319114685,0.9722486734390259,0.5924178957939148,0.8357111215591431
0.9798374772071838,0.6502572298049927,0.8182520270347595,0.9727577567100525,0.6005209684371948,0.8336223363876343
0.98042231798172,0.654738187789917,0.8170039057731628,0.9749065041542053,0.6131273508071899,0.8297195434570312
0.9803434610366821,0.6546482443809509,0.8169751763343811,0.9717909097671509,0.599618673324585,0.8332226872444153
0.9811773896217346,0.6699734926223755,0.8128938674926758,0.976496696472168,0.6222164630889893,0.8283451199531555
0.9817097783088684,0.6717279553413391,0.8124824166297913,0.9741201996803284,0.6176466941833496,0.8289584517478943
0.982488214969635,0.6840595006942749,0.8094156980514526,0.975128173828125,0.6191025376319885,0.8287478685379028
0.9828042984008789,0.690229594707489,0.8078820705413818,0.9758537411689758,0.6199119091033936,0.8284136056900024
0.9834720492362976,0.6990419626235962,0.8058696389198303,0.9771205186843872,0.6268197298049927,0.8266398310661316
0.9839759469032288,0.7061401009559631,0.8039439916610718,0.9767544865608215,0.636239230632782,0.8242928981781006
0.9839544892311096,0.7032900452613831,0.8049986958503723,0.9751759171485901,0.6190813183784485,0.8285776972770691
0.9837750196456909,0.7044322490692139,0.8044071793556213,0.9752547740936279,0.6270546317100525,0.8261440992355347
0.9847138524055481,0.7169135808944702,0.8015094995498657,0.9787179827690125,0.6458442807197571,0.8217913508415222
0.9846906065940857,0.721226155757904,0.8004556894302368,0.9782151579856873,0.6440867781639099,0.8224841356277466
0.9842795729637146,0.7195690274238586,0.8009660840034485,0.9788169860839844,0.6449124217033386,0.8227238059043884
0.9853584170341492,0.727378785610199,0.798852264881134,0.9793750643730164,0.6466814279556274,0.8218874335289001
0.9847631454467773,0.7217377424240112,0.8003402352333069,0.9788936376571655,0.6415567398071289,0.8231617212295532
0.9851601719856262,0.7256631851196289,0.799299418926239,0.9797890186309814,0.6521924734115601,0.8196351528167725
0.9857327938079834,0.7361016273498535,0.7969846725463867,0.9795099496841431,0.6436248421669006,0.8216751217842102
0.98597252368927,0.7363367676734924,0.7970651984214783,0.9790000915527344,0.650327742099762,0.8204155564308167
0.9862363338470459,0.7404651045799255,0.7959544062614441,0.9797577857971191,0.6511915326118469,0.820244550704956
0.985872209072113,0.7390257120132446,0.7963627576828003,0.9797044992446899,0.6495708227157593,0.8198986649513245
0.9855401515960693,0.7375057935714722,0.7970848083496094,0.9795346856117249,0.641946017742157,0.8226133584976196
0.9861721396446228,0.7461615204811096,0.7949385046958923,0.9804456830024719,0.6527009606361389,0.819003701210022
0.9859597682952881,0.7440679669380188,0.7955164313316345,0.9785085320472717,0.6497942209243774,0.8199947476387024
0.9869163036346436,0.7512654066085815,0.7937472462654114,0.9788182973861694,0.6572245359420776,0.818414032459259
0.9871504902839661,0.7567384839057922,0.7925654053688049,0.9786678552627563,0.6551291346549988,0.819469690322876
0.9874101877212524,0.760660707950592,0.7916445732116699,0.9766585826873779,0.6453763842582703,0.8226385712623596
0.9872660636901855,0.7608740925788879,0.7917593717575073,0.9753850102424622,0.6396053433418274,0.8238625526428223
0.9874936938285828,0.7638466358184814,0.7910409569740295,0.9795973896980286,0.6594297885894775,0.8181947469711304
0.9871578812599182,0.7561291456222534,0.7927135229110718,0.9774178862571716,0.6501502394676208,0.8208637833595276
0.9877108335494995,0.7668468952178955,0.7904180288314819,0.979388415813446,0.6607998013496399,0.8182452917098999
0.9874568581581116,0.7593330144882202,0.7919543981552124,0.9790785908699036,0.658125638961792,0.81899094581604
0.9876952171325684,0.7636649012565613,0.7910047769546509,0.9777123332023621,0.6582140922546387,0.8188640475273132
0.9879516363143921,0.7670954465866089,0.7902335524559021,0.9808613061904907,0.6642094254493713,0.8172434568405151
0.9875967502593994,0.7630259990692139,0.7913124561309814,0.9811210036277771,0.6603679656982422,0.8176645636558533
0.9877714514732361,0.7662636041641235,0.7905104756355286,0.9799136519432068,0.6623157858848572,0.8180043697357178
0.9877191185951233,0.770068347454071,0.7899526357650757,0.9803051352500916,0.6612575650215149,0.8179740309715271
0.9878774881362915,0.7722020745277405,0.7893477082252502,0.9806168079376221,0.6574967503547668,0.8194476962089539
0.9882597923278809,0.7754158973693848,0.7886351943016052,0.9812648892402649,0.6679790019989014,0.8161742687225342
0.9885076880455017,0.7792505621910095,0.7878557443618774,0.980743944644928,0.660772979259491,0.8185272812843323
0.9886893033981323,0.7809840440750122,0.7874704599380493,0.9814029335975647,0.6716060042381287,0.8154193758964539
0.9886298179626465,0.7782427072525024,0.7880076169967651,0.9811228513717651,0.6655806303024292,0.816866397857666
0.9885109663009644,0.7760064601898193,0.788530170917511,0.981330156326294,0.6657264232635498,0.817008376121521
0.9887778162956238,0.781947910785675,0.7872920036315918,0.9807155728340149,0.6617557406425476,0.8178783655166626
0.9890022873878479,0.7852891087532043,0.7865726947784424,0.9793922305107117,0.6580530405044556,0.8195486068725586
0.9890369772911072,0.7862092852592468,0.7864238619804382,0.9788850545883179,0.6589966416358948,0.8191105127334595
0.9888162612915039,0.7828826308250427,0.7871383428573608,0.9774240255355835,0.6545859575271606,0.8196783065795898
0.9887810349464417,0.7821630835533142,0.7872734069824219,0.9779556393623352,0.6582404375076294,0.8192952871322632
0.9891014695167542,0.7854872941970825,0.7866163849830627,0.9780818223953247,0.6569870114326477,0.819153904914856
0.9890097975730896,0.7861854434013367,0.7863550186157227,0.9756163954734802,0.6478017568588257,0.8213692307472229
0.989350438117981,0.7904825210571289,0.7854515314102173,0.9743953347206116,0.6410568356513977,0.8232472538948059
0.9893401861190796,0.7892318367958069,0.7857285737991333,0.9769530892372131,0.6552301645278931,0.8203401565551758
0.9894922971725464,0.7899559736251831,0.7856541275978088,0.9780858755111694,0.6591074466705322,0.8186495304107666
0.9898406267166138,0.7941649556159973,0.7847201824188232,0.9778859615325928,0.6569632887840271,0.8194280862808228
0.9901183247566223,0.794983446598053,0.7845379114151001,0.9788365960121155,0.6640190482139587,0.8181865811347961
0.9900858998298645,0.7969876527786255,0.7841300964355469,0.9791325330734253,0.6611711978912354,0.8179934024810791
0.9901449680328369,0.7966068983078003,0.7842158675193787,0.9787550568580627,0.6603137850761414,0.8186959624290466
0.9900786280632019,0.7973268032073975,0.7840837240219116,0.9794602394104004,0.6638343930244446,0.8178367614746094
0.9898908138275146,0.7963905334472656,0.7843093276023865,0.9799500107765198,0.6659818291664124,0.8174102306365967
0.9895389080047607,0.7929036617279053,0.7851572632789612,0.981383740901947,0.6694338321685791,0.8161530494689941
0.9897134900093079,0.7959150075912476,0.784892201423645,0.9817127585411072,0.6724753975868225,0.8159211874008179
0.9899246692657471,0.7961980104446411,0.7844663262367249,0.9817924499511719,0.6756921410560608,0.8143245577812195
0.9904237389564514,0.802118182182312,0.7831836342811584,0.98187655210495,0.6729947924613953,0.8152936697006226
0.9908751845359802,0.8085061311721802,0.7819656133651733,0.981986939907074,0.6749737858772278,0.8149381279945374
0.9907528758049011,0.8065400719642639,0.7823298573493958,0.9821863174438477,0.6734344363212585,0.8150373697280884
0.9907577633857727,0.8060123920440674,0.7824116945266724,0.9822220206260681,0.6751550436019897,0.8144678473472595
0.9907361268997192,0.8054636716842651,0.7825930118560791,0.9810943007469177,0.6668834090232849,0.8163426518440247
0.9906720519065857,0.8067743182182312,0.7823635935783386,0.980181872844696,0.665935754776001,0.8163318037986755
0.9906731247901917,0.8039405345916748,0.7828282713890076,0.979464054107666,0.6561328172683716,0.8187869787216187
0.9903711676597595,0.8010318875312805,0.7835076451301575,0.9790642261505127,0.6642261147499084,0.8169768452644348
0.9902057647705078,0.8010262250900269,0.7834791541099548,0.9808927774429321,0.6697747707366943,0.8160607814788818
0.9903775453567505,0.8052569627761841,0.7826182246208191,0.9814836382865906,0.6659642457962036,0.8168343901634216
0.9904651641845703,0.8042044043540955,0.7827332019805908,0.981097936630249,0.6655775308609009,0.8170631527900696
0.9905878901481628,0.8076720833778381,0.7820798754692078,0.9815372824668884,0.6656966805458069,0.816986620426178
0.990665853023529,0.8100957274436951,0.7815993428230286,0.9812185764312744,0.6629159450531006,0.8174588680267334
0.9906736612319946,0.8097781538963318,0.7816858887672424,0.9807361364364624,0.6573451161384583,0.8191245198249817
0.9907313585281372,0.8092837929725647,0.7817921042442322,0.9814732670783997,0.6685203909873962,0.8161213994026184
0.9908459782600403,0.8100110292434692,0.7817018032073975,0.9817538857460022,0.6703277230262756,0.8154683709144592
